cou_ID,cou_Name,cou_Description,cou_IsActive,cou_Rating,cou_DurationHours,cou_MaxDegree,cou_MinDegree
1,Introduction to HTML,Learn HTML basics including tags elements and semantic structure for modern web development,true,4.2,8,50,30
2,CSS Fundamentals,Master CSS styling selectors layout techniques and responsive design principles,true,4.5,12,50,30
3,JavaScript Basics,Core JavaScript programming concepts variables functions and DOM manipulation techniques,true,4.7,25,100,60
4,React Development,Build modern interactive web applications using React hooks and component architecture,true,4.6,40,150,90
5,Vue.js Essentials,Create dynamic user interfaces with Vue.js framework and state management,true,4.3,35,150,90
6,Angular Framework,Comprehensive Angular development including TypeScript components and services,true,4.4,45,200,120
7,Node.js Backend,Server-side JavaScript development with Node.js Express and REST APIs,true,4.5,38,150,90
8,Python Programming,Learn Python syntax data structures algorithms and object-oriented programming concepts,true,4.8,30,100,60
9,Django Web Framework,Build scalable web applications using Django MVT architecture and ORM,true,4.4,42,200,120
10,Flask Microframework,Lightweight Python web development with Flask routing and templating,true,4.3,28,100,60
11,Database Design,Relational database concepts normalization ER diagrams and SQL fundamentals,true,4.6,22,100,60
12,MySQL Mastery,Advanced MySQL queries optimization indexing and database administration techniques,true,4.5,32,150,90
13,PostgreSQL Development,Learn PostgreSQL advanced features JSON support and performance tuning strategies,true,4.4,35,150,90
14,MongoDB Basics,NoSQL database development with MongoDB CRUD operations and aggregation pipelines,true,4.6,26,100,60
15,Redis Caching,In-memory data store implementation for caching and real-time applications,true,4.2,15,50,30
16,Git Version Control,Master Git commands branching merging and collaborative workflow strategies,true,4.7,18,50,30
17,Docker Containers,Containerization concepts Docker images containers and orchestration basics,true,4.8,30,150,90
18,Kubernetes Orchestration,Container orchestration deployment scaling and management with Kubernetes platform,true,4.5,48,200,120
19,AWS Cloud Fundamentals,Amazon Web Services core services EC2 S3 and cloud architecture,true,4.6,40,200,120
20,Azure Cloud Platform,Microsoft Azure services virtual machines storage and cloud solutions,true,4.4,42,200,120
21,Google Cloud Platform,GCP services compute engine cloud storage and application deployment,true,4.3,38,200,120
22,DevOps Practices,CI/CD pipelines automation infrastructure as code and deployment strategies,true,4.7,45,200,120
23,Linux Administration,Linux command line system administration shell scripting and server management,true,4.5,35,150,90
24,Cybersecurity Basics,Information security principles threat analysis encryption and security best practices,true,4.6,28,100,60
25,Ethical Hacking,Penetration testing vulnerability assessment and security auditing techniques,true,4.4,50,220,132
26,Network Security,Network protocols firewalls VPNs and intrusion detection systems,true,4.5,40,200,120
27,Machine Learning Intro,Introduction to ML algorithms supervised learning and model training,true,4.8,45,200,120
28,Deep Learning Neural Networks,Neural network architectures backpropagation and deep learning frameworks,true,4.7,55,250,150
29,Data Science Python,Data analysis visualization and statistical computing with Python libraries,true,4.6,48,200,120
30,R Programming Statistics,Statistical analysis data visualization and R programming for data science,true,4.3,32,150,90
31,Data Visualization Tableau,Create interactive dashboards and visual analytics using Tableau software,true,4.5,24,100,60
32,Power BI Analytics,Business intelligence reporting and data visualization with Microsoft Power BI,true,4.4,26,100,60
33,Big Data Hadoop,Distributed computing MapReduce and Hadoop ecosystem for large datasets,true,4.3,50,220,132
34,Apache Spark,Fast distributed data processing analytics and machine learning with Spark,true,4.6,45,200,120
35,Natural Language Processing,Text processing sentiment analysis and NLP techniques using Python,true,4.5,42,200,120
36,Computer Vision,Image processing object detection and computer vision algorithms,true,4.7,48,220,132
37,TensorFlow Framework,Deep learning model development training and deployment with TensorFlow,true,4.6,50,220,132
38,PyTorch Deep Learning,Neural network development and research with PyTorch framework,true,4.7,48,220,132
39,SQL Advanced Queries,Complex SQL queries subqueries window functions and optimization,true,4.5,28,150,90
40,Data Warehousing,ETL processes dimensional modeling and data warehouse architecture,true,4.4,38,200,120
41,API Development REST,RESTful API design implementation authentication and documentation practices,true,4.6,30,150,90
42,GraphQL APIs,GraphQL schema design queries mutations and modern API development,true,4.5,25,100,60
43,Microservices Architecture,Design implement and deploy microservices-based distributed systems,true,4.7,45,200,120
44,Software Testing QA,Testing methodologies unit testing integration testing and quality assurance,true,4.4,32,150,90
45,Test Automation Selenium,Automated browser testing with Selenium WebDriver and test frameworks,true,4.5,35,150,90
