fa_ID,fa_Name,fa_Location
1,Faculty of Engineering,Cairo
2,Faculty of Medicine,Giza
3,Faculty of Science,Alexandria
4,Faculty of Commerce,Mansoura
5,Faculty of Law,Cairo
6,Faculty of Pharmacy,Zagazig
7,Faculty of Dentistry,Tanta
8,Faculty of Agriculture,Minia
9,Faculty of Arts,Assiut
10,Faculty of Education,Sohag
11,Faculty of Nursing,Qena
12,Faculty of Computers and Information,Ismailia
13,Faculty of Veterinary Medicine,Kafr El Sheikh
14,Faculty of Fine Arts,Luxor
15,Faculty of Applied Arts,Cairo
16,Faculty of Mass Communication,Giza
17,Faculty of Archaeology,Fayoum
18,Faculty of Economics and Political Science,Cairo
19,Faculty of Physical Education,Alexandria
20,Faculty of Specific Education,Beni Suef
21,Faculty of Tourism and Hotels,Hurghada
22,Faculty of Social Work,Aswan
23,Faculty of Kindergarten Education,Damietta
24,Faculty of Languages,Cairo
25,Faculty of Arts and Design,New Cairo
26,Faculty of Industrial Education,Suez
27,Faculty of Environmental Studies,Ismailia
28,Faculty of Information Systems,Mansoura
29,Faculty of Urban Planning,Cairo
30,Faculty of Biomedical Sciences,Giza
31,Faculty of Energy Engineering,Aswan
32,Faculty of Marine Sciences,Alexandria
33,Faculty of Logistics,Port Said
34,Faculty of Computer Science,New Cairo
35,Faculty of Nanotechnology,Sheikh Zayed
36,Faculty of Artificial Intelligence,Beni Suef
37,Faculty of Renewable Energy,Hurghada
38,Faculty of Biotechnology,6th of October
39,Faculty of Business Administration,Cairo
40,Faculty of Humanities,Minia
